ts::exclusive_with_required_unless_present_all ... ok
test require::require_eq_filtered_group ... ok
test require::required_error_doesnt_duplicate ... ok
test require::required_if_all_values_present_fail ... ok
test require::required_if_all_values_present_pass ... ok
test require::required_if_any_all_values_present_fail ... ok
test require::required_if_any_all_values_present_pass ... ok
test require::required_if_eq_all_on_default_value ... ok
test require::required_if_eq_on_default_value ... ok
test require::required_if_some_values_present_pass ... ok
test require::required_if_val_present_fail ... ok
test require::required_if_invalid_arg - should panic ... ok
test require::required_if_val_present_ignore_case_fail ... ok
test require::required_if_val_present_fail_error_output ... ok
test require::required_if_val_present_ignore_case_pass ... ok
test require::required_if_val_present_pass ... ok
test require::required_if_wrong_val ... ok
test require::required_ifs_val_present_fail ... ok
test require::required_ifs_val_present_pass ... ok
test require::required_ifs_wrong_val ... ok
test require::required_ifs_wrong_val_mult_fail ... ok
test require::required_require_with_group_shows_flag ... ok
test require::required_unless_all_err ... ok
test help::issue_626_variable_panic ... ok
test require::required_unless_all_on_default_value ... ok
test require::required_unless_any_1 ... ok
test require::required_unless_all_with_any ... ok
test require::required_unless_any_2 ... ok
test require::required_unless_any_err ... ok
test require::required_unless_any_works_with_long ... ok
test require::required_unless_any_works_with_short ... ok
test require::required_unless_any_works_with_short_err ... ok
test require::required_unless_any_works_without ... ok
test require::required_unless_on_default_value ... ok
test require::required_unless_present ... ok
test require::required_unless_invalid_arg - should panic ... ok
test require::required_unless_present_all ... ok
test require::required_unless_present_any ... ok
test require::required_unless_present_err ... ok
test require::required_unless_present_with_optional_value ... ok
test require::requires_if_present_mult ... ok
test require::requires_if_present_mult_pass ... ok
test require::requires_if_invalid_arg - should panic ... ok
test require::requires_if_present_val ... ok
test require::requires_if_present_val_no_present_pass ... ok
test require::requires_if_with_default_value ... ok
test require::requires_with_default_value ... ok
test require::requires_invalid_arg - should panic ... ok
test require::requires_self - should panic ... ok
test require::short_flag_require_equals_with_minvals_zero ... ok
test subcommands::alias_help ... ok
test subcommands::busybox_like_multicall ... ok
test subcommands::cant_have_args_with_multicall - should panic ... ok
test subcommands::bad_multicall_command_error ... ok
test subcommands::duplicate_subcommand - should panic ... ok
test subcommands::hostname_like_multicall ... ok
test subcommands::duplicate_subcommand_alias - should panic ... ok
test subcommands::issue_1031_args_with_same_name ... ok
test subcommands::invisible_aliases_help_output ... ok
test subcommands::issue_1031_args_with_same_name_no_more_vals ... ok
test subcommands::issue_1161_multiple_hyphen_hyphen ... ok
test subcommands::issue_1722_not_emit_error_when_arg_follows_similar_to_a_subcommand ... ok
test subcommands::issue_2494_subcommand_is_present ... ok
test subcommands::multicall_help_flag ... ok
test subcommands::multicall_help_subcommand ... ok
test subcommands::multiple_aliases ... ok
test subcommands::single_alias ... ok
test subcommands::multicall_render_help ... ok
test subcommands::subcmd_did_you_mean_output ... ok
test subcommands::subcmd_did_you_mean_output_ambiguous ... ok
test subcommands::subcmd_did_you_mean_output_arg ... ok
test subcommands::subcmd_did_you_mean_output_arg_false_positives ... ok
test subcommands::subcommand ... ok
test subcommands::subcommand_after_argument ... ok
test subcommands::subcommand_after_argument_looks_like_help ... ok
test subcommands::subcommand_multiple ... ok
test subcommands::subcommand_none_given ... ok
test subcommands::subcommand_not_recognized ... ok
test subcommands::subcommand_placeholder_test ... ok
test subcommands::subcommand_used_after_double_dash ... ok
test subcommands::visible_aliases_help_output ... ok
test template_help::template_author_version ... ok
test template_help::template_empty ... ok
test template_help::template_notag ... ok
test template_help::custom_template ... ok
test template_help::template_unknowntag ... ok
test tests::add_multiple_arg ... ok
test tests::create_app ... ok
test template_help::with_template ... ok
test tests::issue_3669_command_build_recurses ... ok
test tests::flag_x2_opt ... ok
test tests::long_flag_long_opt_eq_pos ... ok
test tests::long_flag_long_opt_pos ... ok
test tests::long_opt_eq_x2_pos ... ok
test tests::mut_arg_all ... ok
test tests::mut_subcommand_all ... ok
test tests::mut_subcommand_with_alias_resolve ... ok
test tests::long_opt_x2_pos ... ok
test tests::sc_long_flag_long_opt ... ok
test tests::sc_long_flag_long_opt_eq_pos ... ok
test tests::sc_long_flag_short_opt_pos ... ok
test tests::sc_long_flag_x2_long_opt_eq_pos ... ok
test tests::sc_long_flag_x2_short_opt_eq_pos ... ok
test tests::sc_long_flag_x2_long_opt_pos ... ok
test tests::sc_short_flag_long_opt_eq_pos ... ok
test tests::sc_long_flag_x2_short_opt_pos ... ok
test tests::sc_short_flag_long_opt_pos ... ok
test tests::sc_short_flag_short_opt_pos ... ok
test tests::sc_short_flag_x2_comb_long_opt_eq_pos ... ok
test tests::sc_short_flag_short_opt_eq_pos ... ok
test tests::sc_short_flag_x2_comb_long_opt_pos ... ok
test tests::sc_short_flag_x2_comb_short_opt_eq_pos ... ok
test tests::sc_short_flag_x2_comb_short_opt_pos ... ok
test tests::sc_short_flag_x2_long_opt_eq_pos ... ok
test tests::sc_short_flag_x2_long_opt_pos ... ok
test tests::sc_short_flag_x2_short_opt_eq_pos ... ok
test tests::short_flag_short_opt_pos ... ok
test tests::sc_short_flag_x2_short_opt_pos ... ok
test unicode::possible_values_ignore_case ... ok
test tests::short_opt_eq_x2_pos ... ok
test tests::short_flag_x2_comb_short_opt_pos ... ok
test tests::short_opt_x2_pos ... ok
test unique_args::unique_arg_longs - should panic ... ok
test utf8::allow_invalid_utf8_external_subcommand_values_of_os ... ok
test unique_args::unique_arg_names - should panic ... ok
test utf8::allow_invalid_utf8_subcommand_args_with_allow_external_subcommands ... ok
test unique_args::unique_arg_shorts - should panic ... ok
test utf8::allow_validated_utf8_external_subcommand_values_of ... ok
test utf8::allow_validated_utf8_value_of ... ok
test utf8::invalid_utf8_option_long_equals ... ok
test utf8::invalid_utf8_option_long_space ... ok
test utf8::invalid_utf8_option_short_equals ... ok
test utf8::invalid_utf8_option_short_no_space ... ok
test utf8::invalid_utf8_option_short_space ... ok
test utf8::invalid_utf8_positional ... ok
test utf8::invalid_utf8_strict_invalid_long ... ok
test utf8::invalid_utf8_strict_invalid_short ... ok
test utf8::invalid_utf8_strict_option_long_equals ... ok
test utf8::invalid_utf8_strict_option_long_space ... ok
test utf8::invalid_utf8_strict_option_short_equals ... ok
test utf8::invalid_utf8_strict_option_short_no_space ... ok
test utf8::invalid_utf8_strict_option_short_space ... ok
test utf8::invalid_utf8_strict_positional ... ok
test utf8::refuse_invalid_utf8_subcommand_args_with_allow_external_subcommands ... ok
test utf8::refuse_invalid_utf8_subcommand_when_args_are_allowed_with_allow_external_subcommands ... ok
test utf8::panic_invalid_utf8_external_subcommand_values_of - should panic ... ok
test utf8::panic_validated_utf8_external_subcommand_values_of_os - should panic ... ok
test utf8::refuse_invalid_utf8_subcommand_with_allow_external_subcommands ... ok
test version::help_long_flag_no_version ... ok
test version::help_long_flag_with_both ... ok
test version::help_long_flag_with_long_version ... ok
test version::help_long_flag_with_version ... ok
test version::help_short_flag_no_version ... ok
test version::help_short_flag_with_both ... ok
test version::help_short_flag_with_long_version ... ok
test version::help_short_flag_with_version ... ok
test version::mut_arg_version_no_auto_version - should panic ... ok
test version::no_propagation_by_default_long ... ok
test version::no_propagation_by_default_short ... ok
test version::propagate_version_long ... ok
test version::override_version_long_with_user_flag - should panic ... ok
test version::override_version_short_with_user_flag - should panic ... ok
test version::propagate_version_short ... ok
test version::version_long_flag_no_version ... ok
test version::propagate_version_no_version_info - should panic ... ok
test version::version_long_flag_with_both ... ok
test version::version_long_flag_with_long_version ... ok
test version::version_long_flag_with_version ... ok
test version::version_short_flag_no_version ... ok
test version::version_short_flag_with_both ... ok
test version::version_required - should panic ... ok
test version::version_short_flag_with_long_version ... ok
test version::version_short_flag_with_version ... ok

failures:

---- error::flag_used_after_double_dash stdout ----

thread 'error::flag_used_after_double_dash' (26481796) panicked at tests/builder/error.rs:334:5:

[31m---- expected: tests/builder/error.rs:324:19[0m
[32m++++ actual:   In-memory[0m
[2m   1[0m [2m   1[0m [2m|[0m [2merror: unexpected argument '--dev' found
[0m[2m   2[0m [2m   2[0m [2m|[0m [2m
[0m[2m   3[0m      [31m-[0m [31m  tip: flag '--dev' exists; to use it, remove the '--' before it
[0m[2m   4[0m      [31m-[0m [31m
[0m[2m   5[0m [2m   3[0m [2m|[0m [2mUsage: app [OPTIONS]
[0m[2m   6[0m [2m   4[0m [2m|[0m [2m
[0m[2m   7[0m [2m   5[0m [2m|[0m [2mFor more information, try '--help'.
[0m
[2mUpdate with SNAPSHOTS=overwrite[0m



failures:
    error::flag_used_after_double_dash

test result: FAILED. 968 passed; 1 failed; 0 ignored; 0 measured; 0 filtered out; finished in 0.03s


--- stderr ---
    Updating crates.io index
 Downloading crates ...
  Downloaded unic-emoji-char v0.9.0
  Downloaded terminal_size v0.4.4
  Downloaded unic-char-property v0.9.0
  Downloaded itoa v1.0.17
  Downloaded divan-macros v0.1.21
  Downloaded target-triple v1.0.0
  Downloaded color-print v0.3.7
  Downloaded roff v1.1.1
  Downloaded unic-common v0.9.0
  Downloaded humantime-serde v1.1.1
  Downloaded content_inspector v0.2.4
  Downloaded unic-char-range v0.9.0
  Downloaded anstyle-lossy v1.1.3
  Downloaded unic-ucd-version v0.9.0
  Downloaded clap-cargo v0.15.2
  Downloaded snapbox-macros v1.1.0
  Downloaded os_pipe v1.2.0
  Downloaded automod v1.0.16
  Downloaded humantime v2.1.0
  Downloaded anstyle-svg v1.1.0
  Downloaded color-print-proc-macro v0.3.7
  Downloaded toml_parser v1.1.1+spec-1.1.0
  Downloaded trycmd v1.2.0
  Downloaded trybuild v1.0.116
  Downloaded log v0.4.22
  Downloaded toml_edit v0.25.9+spec-1.1.0
  Downloaded toml v1.0.6+spec-1.1.0
  Downloaded regex-lite v0.1.8
  Downloaded divan v0.1.21
  Downloaded jiff-static v0.2.24
  Downloaded snapbox v1.2.1
  Downloaded crossbeam-utils v0.8.20
  Downloaded once_cell v1.19.0
  Downloaded winnow v0.7.15
  Downloaded winnow v1.0.1
  Downloaded libc v0.2.183
   Compiling proc-macro2 v1.0.106
   Compiling libc v0.2.183
   Compiling quote v1.0.45
   Compiling unicode-ident v1.0.24
   Compiling rustix v1.1.4
   Compiling anstyle v1.0.14
   Compiling bitflags v2.11.0
   Compiling utf8parse v0.2.2
   Compiling serde_core v1.0.228
   Compiling anstyle-query v1.1.5
   Compiling is_terminal_polyfill v1.70.2
   Compiling colorchoice v1.0.4
   Compiling unicode-width v0.2.2
   Compiling clap_lex v1.1.0 (/Users/junekim/.sweep/worktrees/clap-rs__clap/clap_lex)
   Compiling anstyle-parse v1.0.0
   Compiling heck v0.5.0
   Compiling cfg-if v1.0.4
   Compiling zmij v1.0.21
   Compiling unicase v2.9.0
   Compiling serde v1.0.228
   Compiling strsim v0.11.1
   Compiling serde_json v1.0.149
   Compiling anstream v1.0.0
   Compiling memchr v2.8.0
   Compiling itoa v1.0.17
   Compiling getrandom v0.3.4
   Compiling utf8-width v0.1.7
   Compiling escargot v0.5.15
   Compiling html-escape v0.2.13
   Compiling anstyle-lossy v1.1.3
   Compiling same-file v1.0.6
   Compiling log v0.4.22
   Compiling fastrand v2.3.0
   Compiling once_cell v1.19.0
   Compiling anstyle-svg v1.1.0
   Compiling walkdir v2.5.0
   Compiling content_inspector v0.2.4
   Compiling snapbox-macros v1.1.0
   Compiling normalize-line-endings v0.3.0
   Compiling similar v2.7.0
   Compiling dunce v1.0.5
   Compiling crossbeam-utils v0.8.20
   Compiling winnow v1.0.1
   Compiling toml_writer v1.1.1+spec-1.1.0
   Compiling rayon-core v1.13.0
   Compiling hashbrown v0.16.1
   Compiling toml_parser v1.1.1+spec-1.1.0
   Compiling equivalent v1.0.2
   Compiling indexmap v2.13.0
   Compiling either v1.13.0
   Compiling glob v0.3.3
   Compiling humantime v2.1.0
   Compiling shlex v1.3.0
   Compiling target-triple v1.0.0
   Compiling rustversion v1.0.22
   Compiling winnow v0.7.15
   Compiling syn v2.0.117
   Compiling toml_datetime v1.1.1+spec-1.1.0
   Compiling serde_spanned v1.1.1
   Compiling termcolor v1.4.1
   Compiling toml_edit v0.25.9+spec-1.1.0
   Compiling clap-cargo v0.15.2
   Compiling jiff v0.2.24
   Compiling semver v1.0.28
   Compiling toml v1.0.6+spec-1.1.0
   Compiling errno v0.3.14
   Compiling filetime v0.2.27
   Compiling wait-timeout v0.2.1
   Compiling os_pipe v1.2.0
   Compiling crossbeam-epoch v0.9.18
   Compiling crossbeam-deque v0.8.5
   Compiling terminal_size v0.4.4
   Compiling clap_builder v4.6.0 (/Users/junekim/.sweep/worktrees/clap-rs__clap/clap_builder)
   Compiling tempfile v3.27.0
   Compiling clap_derive v4.6.1 (/Users/junekim/.sweep/worktrees/clap-rs__clap/clap_derive)
   Compiling serde_derive v1.0.228
   Compiling automod v1.0.16
   Compiling rayon v1.11.0
   Compiling minimal-lexical v0.2.1
   Compiling clap_lex v1.0.0
   Compiling roff v1.1.1
   Compiling nom v7.1.3
   Compiling clap_builder v4.5.60
   Compiling unic-char-range v0.9.0
   Compiling unic-common v0.9.0
   Compiling unic-ucd-version v0.9.0
   Compiling unic-char-property v0.9.0
   Compiling divan-macros v0.1.21
   Compiling regex-lite v0.1.8
   Compiling condtype v1.3.0
   Compiling unic-emoji-char v0.9.0
   Compiling lazy_static v1.5.0
   Compiling static_assertions v1.1.0
   Compiling clap_bench v0.0.0 (/Users/junekim/.sweep/worktrees/clap-rs__clap/clap_bench)
   Compiling color-print-proc-macro v0.3.7
   Compiling clap v4.6.1 (/Users/junekim/.sweep/worktrees/clap-rs__clap)
   Compiling clap v4.5.60
   Compiling color-print v0.3.7
   Compiling divan v0.1.21
   Compiling clap_complete v4.6.5 (/Users/junekim/.sweep/worktrees/clap-rs__clap/clap_complete)
   Compiling clap_mangen v0.3.0 (/Users/junekim/.sweep/worktrees/clap-rs__clap/clap_mangen)
   Compiling clap_complete_nushell v4.6.0 (/Users/junekim/.sweep/worktrees/clap-rs__clap/clap_complete_nushell)
   Compiling humantime-serde v1.1.1
   Compiling trybuild v1.0.116
   Compiling snapbox v1.2.1
   Compiling trycmd v1.2.0
warning: use of deprecated function `<flatten::flatten_skipped_group::Args as clap::Args>::augment_args::old_attribute`: Attribute `#[clap(...)]` has been deprecated in favor of `#[arg(...)]`
   --> tests/derive/flatten.rs:300:11
    |
300 |         #[clap(short)]
    |           ^^^^
    |
    = note: `#[warn(deprecated)]` on by default

warning: `clap` (test "derive") generated 1 warning
    Finished `test` profile [optimized + debuginfo] target(s) in 23.97s
     Running unittests src/lib.rs (target/debug/deps/clap-9891c58293837275)
     Running unittests src/bin/stdio-fixture.rs (target/debug/deps/stdio_fixture-d66a6d1c5fe2e3ff)
     Running tests/builder/main.rs (target/debug/deps/builder-c5a81041ed307500)
error: test failed, to rerun pass `-p clap --test builder`
